animal_id,cell_id,group,early_peak_dZ,late_peak_dZ,sort_score
animal6,C070,LateOnly,0.8379399180412292,4.452137470245361,4.452137470245361
animal2,C115,LateOnly,1.626569747924805,4.439975738525391,4.439975738525391
10489,C069,LateOnly,1.363239049911499,4.428297996520996,4.428297996520996
11794,C004,LateOnly,2.707761764526367,4.422872543334961,4.422872543334961
10492,C068,LateOnly,1.938687801361084,4.399470329284668,4.399470329284668
10492,C172,LateOnly,1.558191418647766,4.381900310516357,4.381900310516357
10490,C175,LateOnly,1.7429561614990234,4.366189956665039,4.366189956665039
10492,C158,LateOnly,1.4849843978881836,4.349262237548828,4.349262237548828
10488,C122,LateOnly,1.0682790279388428,4.2978291511535645,4.2978291511535645
10492,C171,LateOnly,3.807814598083496,4.288790702819824,4.288790702819824
10489,C166,LateOnly,1.9830877780914309,4.282257556915283,4.282257556915283
animal10,C023,LateOnly,2.135854721069336,4.252121448516846,4.252121448516846
11799,C126,LateOnly,3.5846948623657227,4.231071472167969,4.231071472167969
10489,C051,LateOnly,0.8168651461601257,4.195950031280518,4.195950031280518
10490,C170,LateOnly,1.2536187171936035,4.195415496826172,4.195415496826172
10489,C018,LateOnly,0.6940745115280151,4.055206298828125,4.055206298828125
11794,C169,LateOnly,1.0234527587890625,4.043423175811768,4.043423175811768
10491,C048,LateOnly,3.154167413711548,4.024903297424316,4.024903297424316
11799,C242,LateOnly,0.5714102387428284,4.007108211517334,4.007108211517334
10492,C210,LateOnly,1.1621121168136597,3.9895503520965576,3.9895503520965576
10490,C127,LateOnly,0.2098434120416641,3.982144832611084,3.982144832611084
11794,C088,LateOnly,1.405526638031006,3.9806668758392334,3.9806668758392334
10492,C169,LateOnly,1.8126035928726196,3.9634695053100586,3.9634695053100586
11799,C165,LateOnly,1.2417058944702148,3.917430639266968,3.917430639266968
10489,C093,LateOnly,3.168670892715454,3.9137682914733887,3.9137682914733887
10490,C257,LateOnly,2.2785067558288574,3.908581495285034,3.908581495285034
10490,C100,LateOnly,2.435264587402344,3.8934342861175537,3.8934342861175537
10489,C025,LateOnly,0.4671704769134521,3.880284309387207,3.880284309387207
10481,C004,LateOnly,1.9218891859054563,3.8732967376708984,3.8732967376708984
10488,C024,LateOnly,1.0317742824554443,3.8672420978546143,3.8672420978546143
11794,C026,LateOnly,1.5357741117477417,3.863571166992187,3.863571166992187
10492,C178,LateOnly,0.524543046951294,3.820100069046021,3.820100069046021
animal1,C066,LateOnly,0.9841948747634888,3.8169479370117183,3.8169479370117183
animal2,C025,LateOnly,3.1118338108062744,3.813016414642334,3.813016414642334
animal2,C057,LateOnly,0.684796929359436,3.7971813678741455,3.7971813678741455
10492,C148,LateOnly,1.3142505884170532,3.762803792953491,3.762803792953491
10492,C156,LateOnly,0.8414006233215332,3.7466516494750977,3.7466516494750977
10488,C061,LateOnly,1.5968958139419556,3.699347496032715,3.699347496032715
11794,C015,LateOnly,0.9507399201393129,3.69287109375,3.69287109375
10488,C081,LateOnly,1.8356367349624632,3.692495822906494,3.692495822906494
10490,C214,LateOnly,1.0496883392333984,3.682405948638916,3.682405948638916
10490,C155,LateOnly,0.5460601449012756,3.677741050720215,3.677741050720215
animal8,C022,LateOnly,1.2161540985107422,3.666012525558472,3.666012525558472
animal2,C072,LateOnly,0.9603841304779052,3.6650006771087646,3.6650006771087646
animal6,C034,LateOnly,1.2516107559204102,3.654340982437134,3.654340982437134
animal6,C000,LateOnly,3.7994561195373535,3.6431517601013184,3.6431517601013184
animal2,C081,LateOnly,1.1187787055969238,3.607482433319092,3.607482433319092
11799,C072,LateOnly,0.9908815622329712,3.5789566040039062,3.5789566040039062
10482,C031,LateOnly,2.4764742851257324,3.5642566680908203,3.5642566680908203
10488,C116,LateOnly,1.5539753437042236,3.49947452545166,3.49947452545166
10490,C013,LateOnly,1.9672176837921145,3.4556314945220947,3.4556314945220947
11794,C016,LateOnly,1.2699201107025146,3.4466397762298584,3.4466397762298584
animal1,C058,LateOnly,0.7453590631484985,3.4402949810028076,3.4402949810028076
11799,C356,LateOnly,1.6093813180923462,3.436652660369873,3.436652660369873
animal2,C065,LateOnly,2.0929806232452393,3.4216175079345703,3.4216175079345703
10489,C067,LateOnly,1.0800864696502686,3.420727491378784,3.420727491378784
10489,C137,LateOnly,0.6580832004547119,3.405757188796997,3.405757188796997
10490,C180,LateOnly,0.1690524518489837,3.3828139305114746,3.3828139305114746
10492,C143,LateOnly,1.2061381340026855,3.3659536838531494,3.3659536838531494
animal4,C002,LateOnly,2.874295473098755,3.3579442501068115,3.3579442501068115
animal2,C070,LateOnly,5.066153049468994,3.340142011642456,3.340142011642456
10489,C030,LateOnly,2.046874523162842,3.2930047512054443,3.2930047512054443
10488,C085,LateOnly,2.2712316513061523,3.263011693954468,3.263011693954468
10489,C132,LateOnly,1.5168442726135254,3.242264747619629,3.242264747619629
11794,C052,LateOnly,2.7129836082458496,3.239328145980835,3.239328145980835
animal10,C113,LateOnly,2.4482712745666504,3.2319231033325195,3.2319231033325195
10492,C004,LateOnly,3.9955086708068848,3.2316722869873047,3.2316722869873047
10491,C041,LateOnly,1.694178581237793,3.2298498153686523,3.2298498153686523
10492,C036,LateOnly,4.040323734283447,3.205029249191284,3.205029249191284
animal2,C105,LateOnly,0.4633882641792297,3.2027957439422607,3.2027957439422607
11799,C322,LateOnly,1.427087903022766,3.186051607131958,3.186051607131958
animal5,C028,LateOnly,2.504739761352539,3.1837406158447266,3.1837406158447266
animal1,C041,LateOnly,1.9906672239303589,3.167126178741455,3.167126178741455
animal2,C112,LateOnly,2.0847959518432617,3.152238368988037,3.152238368988037
11799,C269,LateOnly,0.6747451424598694,3.1513655185699463,3.1513655185699463
11799,C264,LateOnly,2.660305976867676,3.1377506256103516,3.1377506256103516
10492,C150,LateOnly,1.5071067810058594,3.1372132301330566,3.1372132301330566
10489,C112,LateOnly,1.5721780061721802,3.1324095726013184,3.1324095726013184
11799,C347,LateOnly,1.7775568962097168,3.1231555938720703,3.1231555938720703
animal8,C073,LateOnly,3.1515462398529053,3.116495370864868,3.116495370864868
11794,C130,LateOnly,1.965104103088379,3.0792531967163086,3.0792531967163086
animal5,C021,LateOnly,0.6683335304260254,3.07351016998291,3.07351016998291
10490,C210,LateOnly,2.183605909347534,3.072248697280884,3.072248697280884
animal10,C032,LateOnly,1.0099198818206787,3.070819139480591,3.070819139480591
11799,C192,LateOnly,1.1488540172576904,3.068772315979004,3.068772315979004
10489,C123,LateOnly,1.0395236015319824,3.058213472366333,3.058213472366333
11794,C033,LateOnly,1.2483376264572144,3.034590721130371,3.034590721130371
animal5,C050,LateOnly,0.7562341690063477,3.017641067504883,3.017641067504883
animal2,C200,LateOnly,3.3068149089813232,3.014824390411377,3.014824390411377
10489,C098,LateOnly,1.235248565673828,3.012802839279175,3.012802839279175
10492,C109,LateOnly,3.419135570526123,3.010040521621704,3.010040521621704
10489,C031,LateOnly,2.0108330249786377,3.00274658203125,3.00274658203125
11794,C177,LateOnly,4.050335884094238,2.996735095977783,2.996735095977783
animal2,C053,LateOnly,2.8693535327911377,2.9906105995178223,2.9906105995178223
10492,C011,LateOnly,1.4801383018493652,2.9901185035705566,2.9901185035705566
10489,C016,LateOnly,0.7584528923034668,2.9559361934661865,2.9559361934661865
11799,C206,LateOnly,2.066924571990967,2.9357590675354004,2.9357590675354004
animal2,C145,LateOnly,0.274618923664093,2.9244027137756348,2.9244027137756348
11799,C116,LateOnly,0.9317973256111144,2.924304962158203,2.924304962158203
10490,C259,LateOnly,0.926005244255066,2.914402484893799,2.914402484893799
10481,C012,LateOnly,0.507736325263977,2.90169620513916,2.90169620513916
animal8,C003,LateOnly,1.412913203239441,2.8881685733795166,2.8881685733795166
animal6,C013,LateOnly,5.677388668060303,2.8876142501831055,2.8876142501831055
animal10,C111,LateOnly,2.1641721725463867,2.8649816513061523,2.8649816513061523
11799,C250,LateOnly,0.7607200145721436,2.852473735809326,2.852473735809326
animal1,C038,LateOnly,0.943689465522766,2.8524327278137207,2.8524327278137207
10489,C076,LateOnly,1.021166205406189,2.851685047149658,2.851685047149658
10482,C025,LateOnly,3.712766408920288,2.8474276065826416,2.8474276065826416
10489,C046,LateOnly,1.2294821739196775,2.8335037231445312,2.8335037231445312
11799,C377,LateOnly,1.5068458318710327,2.830012321472168,2.830012321472168
animal8,C062,LateOnly,2.428284168243408,2.7975785732269287,2.7975785732269287
11794,C133,LateOnly,2.021730899810791,2.7944416999816895,2.7944416999816895
10489,C133,LateOnly,1.5633307695388794,2.7906057834625244,2.7906057834625244
11799,C323,LateOnly,2.716752529144287,2.7675507068634033,2.7675507068634033
10490,C102,LateOnly,0.7981365323066711,2.764768123626709,2.764768123626709
10491,C008,LateOnly,0.5370848178863525,2.7610416412353516,2.7610416412353516
10490,C224,LateOnly,1.7209643125534058,2.751260757446289,2.751260757446289
10489,C105,LateOnly,1.4449888467788696,2.750155448913574,2.750155448913574
10490,C193,LateOnly,2.0117764472961426,2.749340534210205,2.749340534210205
11794,C119,LateOnly,1.5958282947540283,2.7432303428649902,2.7432303428649902
11794,C023,LateOnly,0.7774282693862915,2.7365212440490723,2.7365212440490723
animal2,C060,LateOnly,0.9540220499038696,2.730252265930176,2.730252265930176
animal2,C130,LateOnly,2.042586326599121,2.728215217590332,2.728215217590332
11794,C038,LateOnly,3.222538471221924,2.725409984588623,2.725409984588623
animal1,C037,LateOnly,1.9263736009597776,2.72210693359375,2.72210693359375
10490,C024,LateOnly,2.5299370288848877,2.7173280715942383,2.7173280715942383
10482,C010,LateOnly,1.7738759517669678,2.7147445678710938,2.7147445678710938
animal5,C038,LateOnly,1.3420970439910889,2.710404396057129,2.710404396057129
animal9,C000,LateOnly,2.4820122718811035,2.7053847312927246,2.7053847312927246
10492,C070,LateOnly,1.7229020595550537,2.6902413368225098,2.6902413368225098
animal9,C012,LateOnly,0.5098847150802612,2.689248561859131,2.689248561859131
10490,C148,LateOnly,0.9958646297454834,2.6889941692352295,2.6889941692352295
11794,C010,LateOnly,1.226203680038452,2.6862454414367676,2.6862454414367676
11799,C125,LateOnly,1.022965908050537,2.672473192214966,2.672473192214966
animal2,C013,LateOnly,1.0284286737442017,2.647904872894287,2.647904872894287
animal6,C071,LateOnly,1.9773991107940672,2.6401562690734863,2.6401562690734863
animal9,C011,LateOnly,3.8454337120056152,2.618842601776123,2.618842601776123
10482,C040,LateOnly,11.37799072265625,2.6186726093292236,2.6186726093292236
10491,C060,LateOnly,0.8470261096954346,2.614543914794922,2.614543914794922
10492,C155,LateOnly,2.4498162269592285,2.6067795753479004,2.6067795753479004
10490,C118,LateOnly,2.4745473861694336,2.600145101547241,2.600145101547241
11794,C090,LateOnly,0.8559935688972473,2.595637321472168,2.595637321472168
animal8,C068,LateOnly,1.6663857698440552,2.5938150882720947,2.5938150882720947
10489,C161,LateOnly,2.242403507232666,2.5770671367645264,2.5770671367645264
11794,C180,LateOnly,1.0397132635116575,2.5732316970825195,2.5732316970825195
11799,C124,LateOnly,1.472371220588684,2.5674595832824707,2.5674595832824707
animal10,C066,LateOnly,1.0632160902023315,2.5634970664978027,2.5634970664978027
10489,C007,LateOnly,1.7222402095794678,2.542707920074463,2.542707920074463
11799,C207,LateOnly,1.933234930038452,2.5419580936431885,2.5419580936431885
10492,C209,LateOnly,1.778780817985535,2.531651020050049,2.531651020050049
10489,C177,LateOnly,1.155856370925903,2.525210380554199,2.525210380554199
animal6,C082,LateOnly,1.1466405391693115,2.5228800773620605,2.5228800773620605
10490,C159,LateOnly,1.8978898525238037,2.5191502571105957,2.5191502571105957
10492,C165,LateOnly,1.1191937923431396,2.5165038108825684,2.5165038108825684
animal2,C037,LateOnly,0.6711311340332031,2.4960856437683105,2.4960856437683105
animal6,C063,LateOnly,1.9458248615264893,2.4948925971984863,2.4948925971984863
10488,C135,LateOnly,1.4625310897827148,2.4934892654418945,2.4934892654418945
animal2,C171,LateOnly,0.3262795209884643,2.4880189895629883,2.4880189895629883
11799,C100,LateOnly,1.3756486177444458,2.484423875808716,2.484423875808716
animal1,C057,LateOnly,0.5741742253303528,2.4796886444091797,2.4796886444091797
10482,C020,LateOnly,1.581565260887146,2.46638560295105,2.46638560295105
animal5,C023,LateOnly,1.2983204126358032,2.466153621673584,2.466153621673584
animal5,C002,LateOnly,1.052106499671936,2.4584240913391113,2.4584240913391113
11799,C082,LateOnly,1.547136902809143,2.457916736602783,2.457916736602783
11799,C040,LateOnly,1.4020329713821411,2.457777500152588,2.457777500152588
10489,C170,LateOnly,1.150688886642456,2.4566879272460938,2.4566879272460938
10490,C278,LateOnly,0.1853991746902465,2.4566829204559326,2.4566829204559326
10490,C255,LateOnly,0.4050111174583435,2.4537134170532227,2.4537134170532227
10482,C028,LateOnly,1.775437831878662,2.436382293701172,2.436382293701172
10489,C160,LateOnly,2.9518468379974365,2.434932231903076,2.434932231903076
10492,C112,LateOnly,1.6003645658493042,2.430438280105591,2.430438280105591
10492,C226,LateOnly,0.3002748489379883,2.4215781688690186,2.4215781688690186
11794,C128,LateOnly,1.934778928756714,2.4197001457214355,2.4197001457214355
10488,C072,LateOnly,0.9072055220603944,2.417025566101074,2.417025566101074
10492,C054,LateOnly,3.0084383487701416,2.4159135818481445,2.4159135818481445
10489,C059,LateOnly,0.9508973360061646,2.407461643218994,2.407461643218994
animal6,C065,LateOnly,1.9995852708816528,2.398664951324463,2.398664951324463
10489,C114,LateOnly,1.4941269159317017,2.3909642696380615,2.3909642696380615
10489,C092,LateOnly,1.3485976457595823,2.3902854919433594,2.3902854919433594
10490,C184,LateOnly,0.9529931545257568,2.3805134296417236,2.3805134296417236
10492,C072,LateOnly,0.6281927824020386,2.375910758972168,2.375910758972168
10490,C125,LateOnly,1.270132064819336,2.370729923248291,2.370729923248291
11799,C343,LateOnly,1.767451286315918,2.3619771003723145,2.3619771003723145
10490,C038,LateOnly,0.5663793683052063,2.3607497215270996,2.3607497215270996
11799,C158,LateOnly,1.1919848918914795,2.359060049057007,2.359060049057007
10492,C107,LateOnly,2.47750473022461,2.3555221557617188,2.3555221557617188
10490,C160,LateOnly,1.3852362632751465,2.3553872108459473,2.3553872108459473
10492,C012,LateOnly,0.7946079969406128,2.3537135124206543,2.3537135124206543
11794,C051,LateOnly,1.970576286315918,2.3517537117004395,2.3517537117004395
10488,C067,LateOnly,1.4929182529449463,2.3441274166107178,2.3441274166107178
10489,C082,LateOnly,2.206151008605957,2.320667028427124,2.320667028427124
10489,C115,LateOnly,2.204697608947754,2.3206043243408203,2.3206043243408203
10490,C252,LateOnly,1.1954692602157593,2.3146047592163086,2.3146047592163086
10490,C203,LateOnly,1.0984660387039185,2.310935735702514,2.310935735702514
animal2,C069,LateOnly,1.6049187183380127,2.3062260150909424,2.3062260150909424
10489,C148,LateOnly,1.5078973770141602,2.294400691986084,2.294400691986084
10491,C031,LateOnly,1.2633025646209717,2.2847187519073486,2.2847187519073486
animal8,C002,LateOnly,1.1720962524414062,2.2809669971466064,2.2809669971466064
animal5,C022,LateOnly,1.3384454250335691,2.2798495292663574,2.2798495292663574
10492,C047,LateOnly,3.066122531890869,2.279371976852417,2.279371976852417
animal8,C000,LateOnly,0.3127739727497101,2.2790720462799072,2.2790720462799072
animal5,C074,LateOnly,1.0526529550552368,2.27487850189209,2.27487850189209
11799,C337,LateOnly,0.7302517890930176,2.2710604667663574,2.2710604667663574
10492,C095,LateOnly,2.2057251930236816,2.25030779838562,2.25030779838562
10489,C169,LateOnly,1.639240026473999,2.2440648078918457,2.2440648078918457
10491,C026,LateOnly,1.74764084815979,2.242755889892578,2.242755889892578
